id,nombre_etiqueta,source
1,buenos,ponencias
2,días,ponencias
3,todos,ponencias
4,todas,ponencias
5,compañeros,ponencias
6,alumnos,ponencias
7,usuarios,ponencias
8,certificados,ponencias
9,personal,ponencias
10,despúlico,ponencias
11,acompañantes,ponencias
12,de,ponencias
13,personas,ponencias
14,del,ponencias
15,programa,ponencias
16,bienvenidos,ponencias
17,este,ponencias
18,tercer,ponencias
19,encuentro,ponencias
20,de,ponencias
21,usuarios,ponencias
22,certificados,ponencias
23,de,ponencias
24,expertos,ponencias
25,en,ponencias
26,administración,ponencias
27,amazada,ponencias
28,de,ponencias
29,gestión,ponencias
30,ahora,ponencias
31,también,ponencias
32,de,ponencias
33,expertos,ponencias
34,en,ponencias
35,analiza,ponencias
36,ahora,ponencias
37,también,ponencias
38,expertos,ponencias
39,en,ponencias
40,de,ponencias
41,velóperes,ponencias
42,todas,ponencias
43,esas,ponencias
44,gente,ponencias
45,de,ponencias
46,velóperes,ponencias
47,la,ponencias
48,verdad,ponencias
49,es,ponencias
50,que,ponencias
51,es,ponencias
52,una,ponencias
53,chulada,ponencias
54,lo,ponencias
55,que,ponencias
56,voy,ponencias
57,desaquí,ponencias
58,nos,ponencias
59,puedes,ponencias
60,imaginar,ponencias
61,como,ponencias
62,mola,ponencias
63,veros,ponencias
64,cada,ponencias
65,año,ponencias
66,algunos,ponencias
67,por,ponencias
68,cierto,ponencias
69,en,ponencias
70,la,ponencias
71,misma,ponencias
72,posición,ponencias
73,parece,ponencias
74,que,ponencias
75,os,ponencias
76,vais,ponencias
77,ubicando,ponencias
78,siempre,ponencias
79,por,ponencias
80,promociones,ponencias
81,es,ponencias
82,una,ponencias
83,cosa,ponencias
84,que,ponencias
85,siempre,ponencias
86,queda,ponencias
87,ahí,ponencias
88,queda,ponencias
89,en,ponencias
90,el,ponencias
91,es,ponencias
92,muy,ponencias
93,bonita,ponencias
94,en,ponencias
95,la,ponencias
96,verdad,ponencias
97,es,ponencias
98,que,ponencias
99,es,ponencias
100,un,ponencias
101,gusto,ponencias
102,verlo,ponencias
103,de,ponencias
104,verdad,ponencias
105,yo,ponencias
106,creo,ponencias
107,que,ponencias
108,hablo,ponencias
109,en,ponencias
110,nombre,ponencias
111,de,ponencias
112,cualquier,ponencias
113,persona,ponencias
114,que,ponencias
115,forma,ponencias
116,parte,ponencias
117,de,ponencias
118,esta,ponencias
119,compañía,ponencias
120,que,ponencias
121,para,ponencias
122,nosotros,ponencias
123,es,ponencias
124,un,ponencias
125,día,ponencias
126,muy,ponencias
127,especial,ponencias
128,para,ponencias
129,algunos,ponencias
130,es,ponencias
131,el,ponencias
132,primer,ponencias
133,encuentro,ponencias
134,para,ponencias
135,otros,ponencias
136,será,ponencias
137,el,ponencias
138,segundo,ponencias
139,otros,ponencias
140,ya,ponencias
141,lo,ponencias
142,tienen,ponencias
143,marcado,ponencias
144,en,ponencias
145,la,ponencias
146,agenda,ponencias
147,en,ponencias
148,rojo,ponencias
149,como,ponencias
150,cita,ponencias
151,ineludible,ponencias
152,que,ponencias
153,esperemos,ponencias
154,que,ponencias
155,sea,ponencias
156,así,ponencias
157,siempre,ponencias
158,se,ponencias
159,acordáis,ponencias
160,esto,ponencias
161,es,ponencias
162,solo,ponencias
163,para,ponencias
164,los,ponencias
165,más,ponencias
166,veteranos,ponencias
167,hay,ponencias
168,que,ponencias
169,gente,ponencias
170,que,ponencias
171,no,ponencias
172,sabe,ponencias
173,qué,ponencias
